[14:51:01.848] [RX] ← INFO:MSG=INA260 ready. Idle baseline: 41.0 mA, Bus voltage: 12.05 V
[14:51:01.849] [RX] ← INFO:MSG=LIN Sniffer/Fuzzer Ready (Nano Every + TJA1021)
[14:51:01.850] [RX] ← INFO:MSG=Send PING to verify connection
[14:51:02.561] [RX] ← POWER:V=12.05,A=0.040
[14:51:03.566] [RX] ← POWER:V=12.05,A=0.041
[14:51:04.568] [RX] ← POWER:V=12.05,A=0.040
[14:51:05.583] [RX] ← POWER:V=12.05,A=0.040
[14:51:06.585] [RX] ← POWER:V=12.05,A=0.040
[14:51:07.586] [RX] ← POWER:V=12.05,A=0.040
[14:51:08.599] [RX] ← POWER:V=12.05,A=0.041
[14:51:09.597] [RX] ← POWER:V=12.05,A=0.040
[14:51:10.602] [RX] ← POWER:V=12.05,A=0.040
[14:51:11.609] [RX] ← POWER:V=12.05,A=0.041
[14:51:12.613] [RX] ← POWER:V=12.05,A=0.041
[14:51:13.624] [RX] ← POWER:V=12.05,A=0.041
[14:51:14.628] [RX] ← POWER:V=12.05,A=0.040
[14:51:15.627] [RX] ← POWER:V=12.05,A=0.041
[14:51:16.636] [RX] ← POWER:V=12.05,A=0.041
[14:51:17.638] [RX] ← POWER:V=12.05,A=0.041
[14:51:18.651] [RX] ← POWER:V=12.04,A=0.041
[14:51:19.652] [RX] ← POWER:V=12.05,A=0.041
[14:51:20.657] [RX] ← POWER:V=12.05,A=0.040
[14:51:21.658] [RX] ← POWER:V=12.05,A=0.041
[14:51:22.671] [RX] ← POWER:V=12.05,A=0.041
[14:51:23.670] [RX] ← POWER:V=12.04,A=0.041
[14:51:24.674] [RX] ← POWER:V=12.05,A=0.041
[14:51:25.685] [RX] ← POWER:V=12.05,A=0.040
[14:51:26.687] [RX] ← POWER:V=12.05,A=0.040
[14:51:27.698] [RX] ← POWER:V=12.05,A=0.040
[14:51:28.701] [RX] ← POWER:V=12.05,A=0.041
[14:51:29.709] [RX] ← POWER:V=12.05,A=0.040
[14:51:30.705] [RX] ← POWER:V=12.05,A=0.040
[14:51:31.712] [RX] ← POWER:V=12.05,A=0.040
[14:51:32.721] [RX] ← POWER:V=12.05,A=0.041
[14:51:33.727] [RX] ← POWER:V=12.05,A=0.041
[14:51:34.737] [RX] ← POWER:V=12.04,A=0.040
[14:51:35.741] [RX] ← POWER:V=12.05,A=0.040
[14:51:36.745] [RX] ← POWER:V=12.04,A=0.040
[14:51:37.747] [RX] ← POWER:V=12.05,A=0.040
[14:51:38.759] [RX] ← POWER:V=12.05,A=0.040
[14:51:39.760] [RX] ← POWER:V=12.04,A=0.040
[14:51:40.770] [RX] ← POWER:V=12.05,A=0.040
[14:51:41.771] [RX] ← POWER:V=12.05,A=0.041
[14:51:42.782] [RX] ← POWER:V=12.05,A=0.040
[14:51:43.786] [RX] ← POWER:V=12.04,A=0.040
[14:51:44.796] [RX] ← POWER:V=12.05,A=0.041
[14:51:45.798] [RX] ← POWER:V=12.04,A=0.040
[14:51:46.801] [RX] ← POWER:V=12.05,A=0.041
[14:51:47.807] [RX] ← POWER:V=12.04,A=0.040
[14:51:48.812] [RX] ← POWER:V=12.04,A=0.041
[14:51:49.816] [RX] ← POWER:V=12.05,A=0.040
[14:51:50.821] [RX] ← POWER:V=12.05,A=0.041
[14:51:51.825] [RX] ← POWER:V=12.04,A=0.040
[14:51:52.840] [RX] ← POWER:V=12.05,A=0.040
[14:51:53.840] [RX] ← POWER:V=12.04,A=0.040
[14:51:54.846] [RX] ← POWER:V=12.04,A=0.040
[14:51:55.850] [RX] ← POWER:V=12.05,A=0.040
[14:51:56.853] [RX] ← POWER:V=12.05,A=0.040
[14:51:57.861] [RX] ← POWER:V=12.04,A=0.041
[14:51:58.868] [RX] ← POWER:V=12.05,A=0.040
[14:51:59.869] [RX] ← POWER:V=12.04,A=0.041
[14:52:00.876] [RX] ← POWER:V=12.04,A=0.040
[14:52:01.886] [RX] ← POWER:V=12.04,A=0.041
[14:52:02.890] [RX] ← POWER:V=12.04,A=0.041
[14:52:03.899] [RX] ← POWER:V=12.04,A=0.040
[14:52:04.902] [RX] ← POWER:V=12.05,A=0.041
[14:52:05.904] [RX] ← POWER:V=12.04,A=0.029
[14:52:06.914] [RX] ← POWER:V=12.04,A=0.039
[14:52:07.920] [RX] ← POWER:V=12.04,A=0.040
[14:52:08.922] [RX] ← POWER:V=12.04,A=0.040
[14:52:09.932] [RX] ← POWER:V=12.04,A=0.040
[14:52:10.932] [RX] ← POWER:V=12.04,A=0.040
[14:52:11.944] [RX] ← POWER:V=12.04,A=0.040
[14:52:12.944] [RX] ← POWER:V=12.04,A=0.040
[14:52:13.954] [RX] ← POWER:V=12.04,A=0.040
[14:52:14.962] [RX] ← POWER:V=12.04,A=0.040
[14:52:15.964] [RX] ← POWER:V=12.04,A=0.039
[14:52:16.968] [RX] ← POWER:V=12.04,A=0.040
[14:52:17.978] [RX] ← POWER:V=12.04,A=0.040
[14:52:18.980] [RX] ← POWER:V=12.04,A=0.040
[14:52:19.991] [RX] ← POWER:V=12.04,A=0.039
[14:52:20.994] [RX] ← POWER:V=12.04,A=0.040
[14:52:22.001] [RX] ← POWER:V=12.04,A=0.039
[14:52:23.014] [RX] ← POWER:V=12.04,A=0.040
[14:52:24.016] [RX] ← POWER:V=12.04,A=0.040
[14:52:25.022] [RX] ← POWER:V=12.04,A=0.040
[14:52:26.029] [RX] ← POWER:V=12.04,A=0.040
[14:52:27.035] [RX] ← POWER:V=12.04,A=0.040
[14:52:28.037] [RX] ← POWER:V=12.04,A=0.040
[14:52:29.037] [RX] ← POWER:V=12.04,A=0.040
[14:52:30.049] [RX] ← POWER:V=12.04,A=0.040
[14:52:31.055] [RX] ← POWER:V=12.04,A=0.040
[14:52:32.059] [RX] ← POWER:V=12.04,A=0.040
[14:52:33.062] [RX] ← POWER:V=12.04,A=0.040
[14:52:34.076] [RX] ← POWER:V=12.04,A=0.040
[14:52:35.071] [RX] ← POWER:V=12.04,A=0.040
[14:52:36.083] [RX] ← POWER:V=12.04,A=0.040
[14:52:37.091] [RX] ← POWER:V=12.04,A=0.040
[14:52:38.097] [RX] ← POWER:V=12.04,A=0.040
[14:52:39.097] [RX] ← POWER:V=12.04,A=0.040
[14:52:40.102] [RX] ← POWER:V=12.04,A=0.040
[14:52:41.108] [RX] ← POWER:V=12.04,A=0.039
[14:52:42.113] [RX] ← POWER:V=12.04,A=0.040
[14:52:43.120] [RX] ← POWER:V=12.04,A=0.040
[14:52:44.131] [RX] ← POWER:V=12.04,A=0.040
[14:52:45.129] [RX] ← POWER:V=12.04,A=0.040
[14:52:46.139] [RX] ← POWER:V=12.04,A=0.040
[14:52:47.139] [RX] ← POWER:V=12.04,A=0.040
[14:52:48.154] [RX] ← POWER:V=12.04,A=0.040
[14:52:49.157] [RX] ← POWER:V=12.04,A=0.040
[14:52:50.164] [RX] ← POWER:V=12.04,A=0.040
[14:52:51.164] [RX] ← POWER:V=12.04,A=0.040
